Class,TP,TN,FP,FN
antelope,4,804,2,1
badger,7,802,1,1
bat,7,794,7,3
bear,7,803,0,1
bee,8,802,0,1
beetle,7,801,2,1
bison,12,796,0,3
boar,11,797,1,2
butterfly,7,802,0,2
cat,7,804,0,0
caterpillar,10,795,2,4
chimpanzee,10,799,1,1
cockroach,10,797,4,0
cow,5,798,7,1
coyote,5,799,1,6
crab,15,795,1,0
crow,12,798,0,1
deer,7,799,3,2
dog,2,807,0,2
dolphin,13,795,2,1
donkey,6,803,0,2
dragonfly,7,802,2,0
duck,4,803,1,3
eagle,5,804,1,1
elephant,11,800,0,0
flamingo,9,801,1,0
fly,7,804,0,0
fox,9,798,1,3
goat,4,803,0,4
goldfish,8,802,0,1
goose,7,799,1,4
gorilla,12,798,0,1
grasshopper,10,799,0,2
hamster,11,797,1,2
hare,4,806,0,1
hedgehog,9,802,0,0
hippopotamus,11,799,1,0
hornbill,6,804,0,1
horse,5,805,0,1
hummingbird,6,804,1,0
hyena,11,799,0,1
jellyfish,9,798,3,1
kangaroo,8,801,2,0
koala,11,799,0,1
ladybugs,7,803,0,1
leopard,11,800,0,0
lion,5,804,2,0
lizard,6,802,0,3
lobster,8,801,1,1
mosquito,4,806,0,1
moth,3,803,3,2
mouse,4,803,1,3
octopus,5,804,0,2
okapi,12,799,0,0
orangutan,5,806,0,0
otter,8,801,0,2
owl,10,799,0,2
ox,12,790,4,5
oyster,4,804,2,1
panda,12,799,0,0
parrot,12,799,0,0
pelecaniformes,9,794,7,1
penguin,6,805,0,0
pig,9,801,0,1
pigeon,10,800,1,0
porcupine,9,802,0,0
possum,6,804,1,0
raccoon,8,802,1,0
rat,10,794,5,2
reindeer,6,804,1,0
rhinoceros,8,800,1,2
sandpiper,8,801,2,0
seahorse,5,799,1,6
seal,5,805,1,0
shark,3,805,2,1
sheep,5,804,2,0
snake,8,799,3,1
sparrow,8,803,0,0
squid,4,805,2,0
squirrel,3,803,3,2
starfish,12,793,3,3
swan,6,801,2,2
tiger,5,806,0,0
turkey,7,802,2,0
turtle,11,797,1,2
whale,8,799,2,2
wolf,7,801,3,0
wombat,11,796,1,3
woodpecker,4,804,3,0
zebra,13,797,1,0
